Date,Time,location_name,latitude,longitude,pm25,datetime,AQI
2025-01-05,6:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.12,2025-01-05 06:00:00,38.0
2025-01-05,7:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.57,2025-01-05 07:00:00,39.9
2025-01-05,8:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.1,2025-01-05 08:00:00,46.2
2025-01-05,9:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.87,2025-01-05 09:00:00,45.3
2025-01-05,10:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,13.27,2025-01-05 10:00:00,53.5
2025-01-05,11:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.88,2025-01-05 11:00:00,41.2
2025-01-05,12:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.24,2025-01-05 12:00:00,38.5
2025-01-05,13:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,7.85,2025-01-05 13:00:00,32.7
2025-01-05,14:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,8.3,2025-01-05 14:00:00,34.6
2025-01-05,15:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.1,2025-01-05 15:00:00,37.9
2025-01-05,16:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,8.22,2025-01-05 16:00:00,34.3
2025-01-05,17:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.2,2025-01-05 17:00:00,46.7
2025-01-05,18:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.42,2025-01-05 18:00:00,55.9
2025-01-05,19:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,24.1,2025-01-05 19:00:00,76.2
2025-01-05,20:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,20.71,2025-01-05 20:00:00,69.1
2025-01-05,21:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,17.74,2025-01-05 21:00:00,62.9
2025-01-05,22:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,17.55,2025-01-05 22:00:00,62.5
2025-01-05,23:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.94,2025-01-05 23:00:00,59.1
2025-01-06,0:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,13.82,2025-01-06 00:00:00,54.6
2025-01-06,1:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.93,2025-01-06 01:00:00,59.1
2025-01-06,2:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,19.58,2025-01-06 02:00:00,66.7
2025-01-06,3:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,19.31,2025-01-06 03:00:00,66.2
2025-01-06,4:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,19.06,2025-01-06 04:00:00,65.6
2025-01-06,5:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,21.56,2025-01-06 05:00:00,70.9
2025-01-06,6:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,22.2,2025-01-06 06:00:00,72.2
2025-01-06,7:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,21.37,2025-01-06 07:00:00,70.5
2025-01-06,8:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,23.3,2025-01-06 08:00:00,74.6
2025-01-06,9:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,41.69,2025-01-06 09:00:00,116.2
2025-01-06,10:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,96.3,2025-01-06 10:00:00,172.1
2025-01-06,11:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,31.94,2025-01-06 11:00:00,92.7
