datetime,wind_dir,wind_speed,wind_dir_deg
2025-01-27 06:00:00,W,7.2,270.0
2025-01-27 09:00:00,SE,3.6,135.0
2025-01-27 12:00:00,NNE,3.6,22.5
2025-01-27 15:00:00,CAL,0.0,
2025-01-27 18:00:00,CAL,0.0,
2025-01-27 21:00:00,CAL,0.0,
2025-01-28 00:00:00,ENE,3.6,67.5
2025-01-28 00:00:00,ENE,3.6,67.5
2025-01-28 03:00:00,NNE,3.6,22.5
2025-01-28 06:00:00,E,3.6,90.0
2025-01-28 09:00:00,ESE,3.6,112.5
2025-01-28 12:00:00,S,3.6,180.0
2025-01-28 15:00:00,ENE,3.6,67.5
2025-01-28 18:00:00,CAL,0.0,
2025-01-28 21:00:00,ENE,3.6,67.5
2025-01-29 00:00:00,E,7.2,90.0
2025-01-29 00:00:00,E,7.2,90.0
2025-01-29 03:00:00,ENE,7.2,67.5
2025-01-29 06:00:00,ENE,7.2,67.5
2025-01-29 09:00:00,E,10.8,90.0
2025-01-29 12:00:00,N,3.6,0.0
2025-01-29 15:00:00,NE,3.6,45.0
2025-01-29 18:00:00,CAL,0.0,
2025-01-29 21:00:00,NE,7.2,45.0
2025-01-30 00:00:00,ENE,10.8,67.5
2025-01-30 00:00:00,ENE,10.8,67.5
2025-01-30 03:00:00,ESE,10.8,112.5
2025-01-30 06:00:00,E,14.4,90.0
2025-01-30 09:00:00,NE,10.8,45.0
2025-01-30 12:00:00,N,7.2,0.0
2025-01-30 15:00:00,N,3.6,0.0
2025-01-30 18:00:00,NE,3.6,45.0
2025-01-30 21:00:00,NE,3.6,45.0
2025-01-31 00:00:00,NE,7.2,45.0
2025-01-31 00:00:00,NE,7.2,45.0
2025-01-31 03:00:00,S,3.6,180.0
2025-01-31 06:00:00,SSE,10.8,157.5
2025-01-31 09:00:00,S,10.8,180.0
2025-01-31 12:00:00,SSE,3.6,157.5
2025-01-31 15:00:00,NE,3.6,45.0
2025-01-31 18:00:00,CAL,0.0,
2025-01-31 21:00:00,E,3.6,90.0
2025-02-01 00:00:00,E,3.6,90.0
2025-02-01 00:00:00,E,3.6,90.0
2025-02-01 03:00:00,S,10.8,180.0
2025-02-01 06:00:00,S,10.8,180.0
2025-02-01 09:00:00,SSE,7.2,157.5
2025-02-01 12:00:00,S,7.2,180.0
2025-02-01 15:00:00,SSE,3.6,157.5
2025-02-01 18:00:00,SSE,3.6,157.5
2025-02-01 21:00:00,ENE,3.6,67.5
2025-02-02 00:00:00,NNE,3.6,22.5
2025-02-02 00:00:00,NNE,3.6,22.5
2025-02-02 03:00:00,S,7.2,180.0
2025-02-02 06:00:00,S,7.2,180.0
2025-02-02 09:00:00,S,7.2,180.0
2025-02-02 12:00:00,S,3.6,180.0
2025-02-02 15:00:00,S,3.6,180.0
2025-02-02 18:00:00,NNE,3.6,22.5
2025-02-02 21:00:00,CAL,0.0,
2025-02-03 00:00:00,NNE,7.2,22.5
2025-02-03 00:00:00,NNE,7.2,22.5
2025-02-03 03:00:00,E,3.6,90.0
2025-02-03 06:00:00,E,7.2,90.0
2025-02-03 09:00:00,S,3.6,180.0
2025-02-03 12:00:00,S,3.6,180.0
2025-02-03 15:00:00,CAL,0.0,
2025-02-03 18:00:00,CAL,0.0,
